utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.management, power.draw [W]
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 26.23 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 25.99 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 55.17 W
0 %, 0 %, 11519 MiB, 11464 MiB, 55 MiB, Enabled, 56.26 W
