==66511== NVPROF is profiling process 66511, command: ./example pcap/packet256new.pcap 1800
==66511== Profiling application: ./example pcap/packet256new.pcap 1800
==66511== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,KB,MB,GB/s,,,,
323.683177,3.915605,,,,,,,,,,23.062500,5.751850,"Tesla K80 (0)","1","7","[CUDA memcpy HtoD]"
331.292981,0.042592,,,,,,,,,,6.187500,141.868907,"Tesla K80 (0)","1","7","[CUDA memset]"
331.338261,0.040319,,,,,,,,,,6.187500,149.866824,"Tesla K80 (0)","1","7","[CUDA memset]"
331.381268,0.040896,,,,,,,,,,6.187500,147.752359,"Tesla K80 (0)","1","7","[CUDA memset]"
331.424852,0.011424,,,,,,,,,,1.125000,96.168839,"Tesla K80 (0)","1","7","[CUDA memset]"
331.438964,9.600000e-03,,,,,,,,,,0.281250,28.610229,"Tesla K80 (0)","1","7","[CUDA memset]"
362.996665,5.120000e-03,,,,,,,,,,1.098633e-03,0.209548,"Tesla K80 (0)","1","7","[CUDA memset]"
363.287094,6.048000e-03,,,,,,,,,,0.020432,3.299050,"Tesla K80 (0)","1","7","[CUDA memcpy HtoD]"
363.306582,4.448000e-03,,,,,,,,,,0.013618,2.989947,"Tesla K80 (0)","1","7","[CUDA memcpy HtoD]"
363.363157,0.196094,288,1,1,256,1,1,31,2.254400e+04,0.000000,,,"Tesla K80 (0)","1","7","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int) [229]"
363.724337,1.009557,,,,,,,,,,6.187500,5.985279,"Tesla K80 (0)","1","7","[CUDA memcpy DtoH]"
364.751174,0.093599,,,,,,,,,,0.562500,5.868828,"Tesla K80 (0)","1","7","[CUDA memcpy DtoH]"
364.859173,3.744000e-03,,,,,,,,,,1.098633e-03,0.286561,"Tesla K80 (0)","1","7","[CUDA memcpy DtoH]"
